transaction_id,account_id,amount,date,type
1,7,559.87,2025-10-15 07:25:36,deposit
2,957,1101.0,2024-07-10 15:11:47,transfer
3,482,372.06,2024-02-09 15:30:46,transfer
4,585,844.91,2024-05-06 05:37:45,transfer
5,967,1423.13,2024-11-28 12:45:25,withdrawal
6,281,527.33,2024-02-25 07:50:54,transfer
7,526,431.98,2024-02-25 19:51:59,deposit
8,743,1689.78,2025-11-30 09:07:02,deposit
9,355,1082.81,2025-11-17 23:20:35,withdrawal
10,993,504.51,2025-08-01 15:59:07,deposit
11,387,1206.09,2024-08-26 04:43:55,deposit
12,956,1470.24,2025-07-10 03:43:57,transfer
13,472,1121.24,2024-10-15 05:44:19,withdrawal
14,598,198.2,2024-10-15 02:46:20,withdrawal
15,842,1210.51,2025-05-04 17:04:32,transfer
16,871,1055.31,2024-01-09 21:30:28,transfer
17,318,989.04,2025-09-17 18:35:13,transfer
18,132,454.31,2024-09-23 08:55:06,transfer
19,11,1833.45,2024-08-21 02:23:14,transfer
20,710,20.88,2024-03-18 08:40:13,withdrawal
21,678,799.71,2025-03-12 11:53:58,withdrawal
22,224,753.71,2025-01-05 15:40:34,withdrawal
23,783,84.8,2024-06-17 17:01:47,deposit
24,327,1131.31,2025-03-14 08:41:37,withdrawal
25,479,1335.35,2024-10-16 13:11:45,transfer
26,676,957.01,2025-11-25 19:33:04,deposit
27,387,80.94,2024-12-12 01:51:23,withdrawal
28,403,1125.21,2024-08-09 05:14:51,withdrawal
29,479,643.13,2025-11-05 13:56:45,withdrawal
30,112,1406.16,2025-05-18 17:58:45,transfer
31,154,90.47,2024-12-24 16:20:57,deposit
32,901,1140.88,2024-08-29 07:42:43,withdrawal
33,613,974.31,2024-06-02 11:01:54,withdrawal
34,797,340.44,2025-08-11 21:28:25,deposit
35,811,46.07,2025-01-26 05:39:39,deposit
36,214,1038.55,2023-12-19 06:20:13,withdrawal
37,403,654.51,2024-09-27 04:13:29,withdrawal
38,709,1928.11,2025-05-15 04:37:55,deposit
39,431,1214.27,2024-10-08 22:21:51,withdrawal
40,586,941.82,2025-10-17 21:05:29,withdrawal
41,77,9.86,2025-05-30 20:59:00,deposit
42,324,1605.62,2024-07-21 23:04:18,transfer
43,490,1947.13,2025-04-16 14:31:16,deposit
44,93,1941.34,2024-09-22 15:53:15,withdrawal
45,383,1494.51,2024-05-03 18:46:20,withdrawal
46,100,1023.2,2024-12-15 01:45:36,transfer
47,897,1011.41,2024-03-27 07:39:23,transfer
48,856,794.51,2025-03-11 07:00:42,transfer
49,215,402.81,2024-01-29 05:02:31,deposit
50,784,1735.14,2024-10-24 15:01:32,withdrawal
51,683,943.87,2025-05-31 22:21:15,transfer
52,835,671.57,2024-04-08 03:58:00,deposit
53,606,1293.3,2025-07-27 21:22:56,withdrawal
54,629,868.57,2025-07-04 06:30:46,transfer
55,245,1614.01,2024-12-06 10:16:39,deposit
56,384,1186.18,2025-04-09 05:35:28,transfer
57,492,444.1,2024-06-18 04:50:05,transfer
58,752,1631.23,2024-07-22 19:17:21,deposit
59,11,1329.15,2024-08-16 01:32:08,transfer
60,895,577.43,2025-07-23 06:46:00,withdrawal
61,223,1203.3,2024-08-16 05:52:20,deposit
62,440,1083.13,2024-06-16 18:21:50,transfer
63,583,458.69,2025-05-15 18:21:39,deposit
64,668,451.82,2025-11-07 18:30:08,withdrawal
65,677,178.46,2025-07-15 06:32:39,deposit
66,681,157.32,2025-08-24 06:12:47,withdrawal
67,971,717.61,2024-05-20 16:33:26,withdrawal
68,227,1343.83,2025-03-16 16:33:20,transfer
69,546,1346.32,2024-09-23 23:39:13,withdrawal
70,239,663.18,2024-03-29 01:52:05,deposit
71,692,1467.86,2025-07-22 20:16:33,deposit
72,25,205.04,2025-03-11 07:08:20,transfer
73,918,1539.49,2024-02-11 01:49:33,deposit
74,744,1904.03,2025-06-20 04:42:30,deposit
75,358,1309.85,2025-07-05 23:49:35,deposit
76,714,1974.36,2024-01-10 00:07:16,transfer
77,273,473.58,2025-08-08 08:44:09,transfer
78,400,527.82,2025-08-19 11:04:03,transfer
79,853,1497.56,2024-04-01 17:42:58,deposit
80,560,1848.13,2024-04-10 00:26:07,deposit
81,21,1774.59,2025-01-02 03:22:38,transfer
82,685,291.81,2024-12-02 15:39:30,transfer
83,244,1433.03,2025-01-26 13:05:25,transfer
84,421,1451.06,2024-06-01 04:11:20,withdrawal
85,130,1757.65,2024-06-04 01:27:00,deposit
86,151,1733.57,2024-05-03 12:02:32,deposit
87,982,1714.63,2025-08-06 05:09:28,deposit
88,61,1195.5,2024-10-06 06:51:55,transfer
89,936,480.59,2024-01-22 01:05:55,withdrawal
90,302,95.73,2025-04-15 03:13:13,withdrawal
91,253,1957.43,2025-01-06 13:36:40,deposit
92,539,1576.9,2025-03-16 06:55:26,deposit
93,670,1984.94,2024-08-29 17:56:11,transfer
94,509,841.46,2024-06-24 13:23:17,transfer
95,449,1105.23,2025-11-22 01:08:19,deposit
96,794,1986.96,2025-02-26 15:05:44,transfer
97,388,249.61,2024-12-22 13:00:31,withdrawal
98,314,493.98,2025-10-13 17:22:20,transfer
99,675,972.75,2024-01-14 07:44:38,deposit
100,68,514.49,2024-11-03 19:51:47,transfer
101,917,1356.18,2024-01-01 12:37:55,deposit
102,137,331.03,2023-12-29 14:28:03,deposit
103,913,246.31,2024-01-24 17:36:45,withdrawal
104,55,311.32,2024-01-08 17:40:34,withdrawal
105,234,1278.41,2025-10-04 19:38:41,deposit
106,511,1908.07,2024-01-21 23:07:58,deposit
107,535,1899.95,2025-03-28 00:39:30,withdrawal
108,168,1465.23,2024-03-31 18:41:39,deposit
109,987,1881.98,2025-08-27 00:15:12,transfer
110,423,155.4,2024-06-16 12:59:41,transfer
111,658,1565.83,2024-08-02 21:00:43,deposit
112,793,749.12,2025-04-04 20:43:15,transfer
113,417,141.44,2025-09-03 20:44:03,withdrawal
114,828,494.12,2024-06-13 20:13:19,transfer
115,546,800.7,2025-06-16 19:28:32,transfer
116,258,1357.93,2024-10-09 14:12:22,deposit
117,753,314.93,2025-05-07 11:13:15,withdrawal
118,254,944.13,2024-02-07 07:38:15,transfer
119,922,1615.02,2024-01-14 13:48:08,transfer
120,327,244.66,2025-01-31 01:56:16,deposit
121,810,1802.18,2025-02-21 17:12:25,withdrawal
